,twitter source account,Tweets ago,Date,Compound,Negative,Positive,Neutral,tweet_text
477,@NYtimes,78,Fri May 22 01:20:05 +0000 2020,-0.3182,0.126,0.0,0.874,"""We should be skeptical of emerging technology,"" writes Shira Ovide in the latest ""On Tech"" newsletter.
https://t.co/li91MyTblF"
478,@NYtimes,79,Fri May 22 01:00:09 +0000 2020,0.3182,0.0,0.119,0.881,Secretary of State Mike Pompeo has held meetings with prominent Republican donors while on taxpayer-funded trips. T… https://t.co/3EHtJiB0KB
479,@NYtimes,80,Fri May 22 00:50:02 +0000 2020,0.4767,0.0,0.205,0.795,"Canned beans are transformed into a hearty, elegant main with this recipe https://t.co/y2WqOJFG2P"
480,@NYtimes,81,Fri May 22 00:40:03 +0000 2020,-0.128,0.13,0.108,0.762,"After 2 months of staying at home, @JessGrose found herself engaging in painful comparisons with other moms online.… https://t.co/SrLR4yw0wH"
481,@NYtimes,82,Fri May 22 00:20:02 +0000 2020,0.0,0.0,0.0,1.0,One of @PriyaParker's tips for dating in quarantine: Do a virtual show and tell of your home — or give them a tour… https://t.co/oTlX5oO2Fi
482,@NYtimes,83,Fri May 22 00:05:05 +0000 2020,-0.3818,0.231,0.134,0.634,The U.S. Supreme Court on Thursday turned down a request from Idaho prison officials to block court-ordered sex rea… https://t.co/BwIvpbJA84
483,@NYtimes,84,Fri May 22 00:00:05 +0000 2020,0.0,0.0,0.0,1.0,"China has announced its most sweeping effort yet to erode the “one country, two systems"" principle that's governed… https://t.co/u6nb0ooB7w"
484,@NYtimes,85,Thu May 21 23:50:05 +0000 2020,0.0,0.0,0.0,1.0,"Starting in January, Facebook’s employee compensation will be adjusted based on the cost of living in the locations… https://t.co/iqPNWEoVMs"
485,@NYtimes,86,Thu May 21 23:40:02 +0000 2020,-0.8402,0.276,0.0,0.724,"The man who filmed the fatal account between 2 of his neighbors and Ahmaud Arbery, who was killed in Georgia in Feb… https://t.co/XmiYPNLzto"
486,@NYtimes,87,Thu May 21 23:30:05 +0000 2020,0.0,0.0,0.0,1.0,"RT @marcatracy: Our read on layoffs at The Atlantic, and what it means that this even happened at a news media outlet that would seem to ha…"
487,@NYtimes,88,Thu May 21 23:20:08 +0000 2020,0.5267,0.094,0.212,0.694,"""To love a New York City bar means forever steeling yourself to lose it. It means always being prepared to say good… https://t.co/174KTanMqK"
488,@NYtimes,89,Thu May 21 23:10:06 +0000 2020,-0.5859,0.233,0.09,0.677,"RT @ewong: NEW: Democratic &amp; Republican lawmakers condemn China’s proposed national security law on Hong Kong, aimed at destroying HK's fre…"
489,@NYtimes,90,Thu May 21 23:00:09 +0000 2020,0.4404,0.0,0.132,0.868,"What does Pete Buttigieg see as his political role now? ""Essentially, it’s to make myself useful,"" he told @llerer. https://t.co/K2Au1KLpsW"
490,@NYtimes,91,Thu May 21 22:50:03 +0000 2020,0.0,0.0,0.0,1.0,"Despite the addition of 90,000 subscribers since March, The Atlantic said it would lay off 68 employees. 

It is th… https://t.co/lMBVU0tnbT"
491,@NYtimes,92,Thu May 21 22:45:09 +0000 2020,-0.6808,0.187,0.0,0.813,"In a new campaign ad, Claire Russo, a Democrat running for Congress in Virginia, speaks openly about being raped at… https://t.co/OLUvpCRFTy"
492,@NYtimes,93,Thu May 21 22:40:05 +0000 2020,0.7184,0.0,0.318,0.682,"Briefly this spring, New York theaters featured a stunning array of plays and adventurous experimentation by writer… https://t.co/H30cBKiEXd"
493,@NYtimes,94,Thu May 21 22:39:12 +0000 2020,0.25,0.0,0.167,0.833,A growing number of colleges and universities are waiving standardized test requirements amid the coronavirus pande… https://t.co/OL9eFed371
494,@NYtimes,95,Thu May 21 22:27:36 +0000 2020,-0.2732,0.095,0.0,0.905,"Breaking News: The University of California system will drop the requirement for SAT and ACT scores, a move with ma… https://t.co/D8X9C9vlrY"
495,@NYtimes,96,Thu May 21 22:20:04 +0000 2020,0.34,0.0,0.103,0.897,New security and health policies are coming to U.S. airports this summer — passengers will be asked to scan their o… https://t.co/yzXgwYsqQV
496,@NYtimes,97,Thu May 21 22:10:03 +0000 2020,0.0,0.0,0.0,1.0,"Former president Bill Clinton and the author James Patterson are writing a second book together, this one about a f… https://t.co/tBWEYeJzQP"
497,@NYtimes,98,Thu May 21 21:58:13 +0000 2020,-0.5994,0.14,0.0,0.86,"The FBI is opening an investigation into the death of Breonna Taylor, a black woman who was shot in her home by 3 w… https://t.co/zxcPlj86lE"
498,@NYtimes,99,Thu May 21 21:50:01 +0000 2020,0.0,0.0,0.0,1.0,"U.S. states are increasingly reducing barriers to voting by mail, seen by many as a necessary way to vote during th… https://t.co/XWo03pWLA6"
499,@NYtimes,100,Thu May 21 21:40:04 +0000 2020,0.0,0.0,0.0,1.0,New York City’s commercial property owners are reporting a steep rise in unpaid rent by companies with office or re… https://t.co/U0VmiXZFAR
